ID,Severity,Start_Time,Street,Side,City,County,State,Temperature(F),Visibility(mi),Weather_Condition
A-1,3,2016-02-08 05:46:00,I-70 E,R,Dayton,Montgomery,OH,36.9,10.0,Light Rain
A-2,2,2016-02-08 06:07:59,Brice Rd,L,Reynoldsburg,Franklin,OH,37.9,10.0,Light Rain
A-3,2,2016-02-08 06:49:27,State Route 32,R,Williamsburg,Clermont,OH,36.0,10.0,Overcast
A-4,3,2016-02-08 07:23:34,I-75 S,R,Dayton,Montgomery,OH,35.1,9.0,Mostly Cloudy
A-5,2,2016-02-08 07:39:07,Miamisburg Centerville Rd,R,Dayton,Montgomery,OH,36.0,6.0,Mostly Cloudy
A-6,3,2016-02-08 07:44:26,Westerville Rd,R,Westerville,Franklin,OH,37.9,7.0,Light Rain
A-7,2,2016-02-08 07:59:35,N Woodward Ave,R,Dayton,Montgomery,OH,34.0,7.0,Overcast
A-8,3,2016-02-08 07:59:58,N Main St,R,Dayton,Montgomery,OH,34.0,7.0,Overcast
A-9,2,2016-02-08 08:00:40,Notre Dame Ave,L,Dayton,Montgomery,OH,33.3,5.0,Mostly Cloudy
A-10,3,2016-02-08 08:10:04,Westerville Rd,R,Westerville,Franklin,OH,37.4,3.0,Light Rain
A-11,3,2016-02-08 08:14:42,Outerbelt S,R,Columbus,Franklin,OH,35.6,5.0,Rain
A-12,3,2016-02-08 08:21:27,I-70 E,R,Reynoldsburg,Franklin,OH,37.4,3.0,Light Rain
A-13,2,2016-02-08 08:36:34,Watervliet Ave,R,Dayton,Montgomery,OH,33.8,3.0,Overcast
A-14,2,2016-02-08 08:37:07,Salem Ave,L,Dayton,Montgomery,OH,36.0,10.0,Mostly Cloudy
A-15,2,2016-02-08 08:39:43,E Broad St,L,Columbus,Franklin,OH,37.4,3.0,Light Rain
A-16,2,2016-02-08 08:43:20,Glencoe Ave,R,Dayton,Montgomery,OH,33.8,3.0,Overcast
A-17,2,2016-02-08 08:53:17,S James H McGee Blvd,R,Dayton,Montgomery,OH,35.6,7.0,Mostly Cloudy
A-18,2,2016-02-08 09:24:37,Delphos Ave,R,Dayton,Montgomery,OH,36.0,10.0,Mostly Cloudy
A-19,2,2016-02-08 09:25:17,Rubicon St,L,Dayton,Montgomery,OH,37.4,10.0,Overcast
A-20,2,2016-02-08 09:35:35,W Hillcrest Ave,R,Dayton,Montgomery,OH,36.0,10.0,Mostly Cloudy
A-21,2,2016-02-08 10:11:15,Brookhill Dr,R,Columbus,Franklin,OH,33.8,2.0,Light Snow
A-22,2,2016-02-08 10:24:27,Princeton Dr,R,Dayton,Montgomery,OH,36.0,10.0,Mostly Cloudy
A-23,2,2016-02-08 11:53:19,Springboro Pike,R,Miamisburg,Montgomery,OH,35.1,6.0,Overcast
A-24,3,2016-02-08 12:00:00,North Fwy S,R,Columbus,Franklin,OH,37.0,8.0,Overcast
A-25,2,2016-02-08 12:16:44,Hoover Ave,R,Dayton,Montgomery,OH,37.9,10.0,Overcast
A-26,2,2016-02-08 12:41:08,Sportsman Club Rd,L,Johnstown,Licking,OH,37.9,5.0,Light Snow
A-27,2,2016-02-08 12:52:05,Irving Ave,R,Dayton,Montgomery,OH,36.0,7.0,Light Snow
A-28,2,2016-02-08 14:24:48,W Helena St,R,Dayton,Montgomery,OH,39.9,10.0,Mostly Cloudy
A-29,2,2016-02-08 14:56:57,Litchfield Ave,R,Dayton,Montgomery,OH,39.9,10.0,Mostly Cloudy
A-30,2,2016-02-08 15:26:14,E 4th St,R,Dayton,Montgomery,OH,39.2,10.0,Mostly Cloudy
A-31,2,2016-02-08 16:16:08,Frantz Rd,R,Dublin,Franklin,OH,37.0,10.0,Overcast
A-32,2,2016-02-08 17:39:24,Bellefontaine Rd,L,Dayton,Montgomery,OH,34.2,10.0,Light Rain
A-33,3,2016-02-08 18:24:00,North Fwy S,R,Columbus,Franklin,OH,33.8,6.0,Overcast
A-34,3,2016-02-08 19:28:00,Outerbelt N,R,Columbus,Franklin,OH,34.0,6.0,Overcast
A-35,2,2016-02-08 20:22:38,Olentangy Fwy N,R,Columbus,Franklin,OH,33.1,7.0,Light Snow
A-36,2,2016-02-08 20:43:00,Olentangy Fwy S,R,Columbus,Franklin,OH,33.1,9.0,Overcast
A-37,2,2016-02-09 04:28:48,S Main St,L,Dayton,Montgomery,OH,23.0,5.0,Light Snow
A-38,2,2016-02-09 05:04:34,Diley Rd,R,Canal Winchester,Fairfield,OH,23.0,2.5,Light Snow
A-39,2,2016-02-09 05:17:08,Kiser St,R,Dayton,Montgomery,OH,22.8,4.0,Light Snow
A-40,3,2016-02-09 05:27:20,Stelzer Rd,R,Columbus,Franklin,OH,26.6,1.5,Light Snow
A-41,2,2016-02-09 05:40:57,Monroe Rd,R,Lebanon,Warren,OH,21.0,0.8,Light Snow
A-42,2,2016-02-09 05:47:16,Air City Ave,R,Dayton,Montgomery,OH,23.0,3.0,Light Snow
A-43,2,2016-02-09 05:56:10,S State Route 72,R,Sabina,Clinton,OH,19.9,1.8,Light Snow
A-44,3,2016-02-09 06:06:45,E Broad St,R,Columbus,Franklin,OH,25.0,1.0,Light Snow
A-45,3,2016-02-09 06:13:33,Benchwood Rd,R,Dayton,Montgomery,OH,23.0,2.0,Light Snow
A-46,3,2016-02-09 06:12:49,East Fwy W,R,Columbus,Franklin,OH,25.0,1.0,Light Snow
A-47,2,2016-02-09 06:21:50,Kenny Rd,R,Columbus,Franklin,OH,26.1,2.0,Light Snow
A-48,3,2016-02-09 06:20:46,S Hamilton Rd,R,Columbus,Franklin,OH,24.8,1.0,Light Snow
A-49,2,2016-02-09 06:34:41,Brandt St,R,Dayton,Montgomery,OH,23.0,4.0,Light Snow
A-50,3,2016-02-09 06:41:09,I-75 S,R,Dayton,Montgomery,OH,23.0,4.0,Light Snow
A-51,2,2016-02-09 06:48:18,N Main St,L,Dayton,Montgomery,OH,21.9,2.0,Light Snow
A-52,2,2016-02-09 06:53:09,Riverside Dr,R,Dayton,Montgomery,OH,21.9,2.0,Light Snow
A-53,3,2016-02-09 06:54:31,N Main St,R,Dayton,Montgomery,OH,21.9,2.0,Light Snow
A-54,3,2016-02-09 07:03:20,Outerbelt S,R,Columbus,Franklin,OH,21.2,1.5,Light Snow
A-55,3,2016-02-09 07:05:37,Miamisburg Centerville Rd,R,Dayton,Montgomery,OH,21.0,1.2,Light Snow
A-56,2,2016-02-09 07:04:58,Wood St,R,Goshen,Clermont,OH,21.0,2.5,Light Snow
A-57,2,2016-02-09 07:15:41,Dearborn Ave,L,Dayton,Montgomery,OH,21.9,2.0,Light Snow
A-58,2,2016-02-09 07:41:01,Brown St,R,Dayton,Montgomery,OH,22.5,1.2,Light Snow
A-59,2,2016-02-09 07:42:43,US-35 E,R,Dayton,Montgomery,OH,22.5,1.2,Light Snow
A-60,2,2016-02-09 07:42:11,US-35 E,R,Dayton,Montgomery,OH,22.5,1.2,Light Snow
A-61,3,2016-02-09 07:46:41,North Fwy S,R,Columbus,Franklin,OH,24.8,1.8,Light Snow
A-62,2,2016-02-09 07:54:44,5 Oaks Ave,R,Dayton,Montgomery,OH,21.2,2.0,Light Snow
A-63,2,2016-02-09 08:06:39,N State Route 42,R,Waynesville,Warren,OH,21.0,1.2,Light Snow
A-64,2,2016-02-09 08:12:44,Clearcreek Rd,R,Springboro,Warren,OH,21.0,1.2,Light Snow
A-65,2,2016-02-09 08:10:20,Columbus Lancaster Rd NW,R,Carroll,Fairfield,OH,21.9,0.8,Light Snow
A-66,3,2016-02-09 08:23:36,I-75 N,R,Miamisburg,Montgomery,OH,21.0,1.2,Light Snow
A-67,3,2016-02-09 08:24:29,Wilmington Rd,R,Oregonia,Warren,OH,21.0,1.2,Light Snow
A-68,3,2016-02-09 08:20:30,Outerbelt South Fwy W,R,Independence,Cuyahoga,OH,32.0,10.0,Overcast
A-69,3,2016-02-09 08:35:53,I-480 E,R,Maple Heights,Cuyahoga,OH,32.0,10.0,Overcast
A-70,3,2016-02-09 10:06:46,I-71 S,R,Grove City,Franklin,OH,21.2,5.0,Overcast
A-71,2,2016-02-09 11:09:37,S Main St,L,Findlay,Hancock,OH,27.0,2.5,Light Snow
A-72,2,2016-02-10 06:18:16,Short Leuders Rd,R,Goshen,Clermont,OH,16.2,5.0,Light Snow
A-73,3,2016-02-10 06:06:00,Twin Rivers Dr,L,Columbus,Franklin,OH,15.8,4.0,Light Snow
A-74,2,2016-02-10 06:24:29,N Hamilton Rd,R,Columbus,Franklin,OH,15.8,4.0,Light Snow
A-75,2,2016-02-10 06:53:02,S Central Ave,R,Fairborn,Greene,OH,15.4,7.0,Light Snow
A-76,3,2016-02-10 07:50:52,E Ash St,R,Piqua,Miami,OH,14.0,7.0,Light Snow
A-77,3,2016-02-10 07:50:08,Outerbelt N,R,Columbus,Franklin,OH,15.1,1.0,Light Snow
A-78,2,2016-02-10 08:01:30,Lindale Nicholsville Rd,R,New Richmond,Clermont,OH,15.8,1.8,Light Snow
A-79,2,2016-02-10 08:08:36,Indianola Ave,L,Columbus,Franklin,OH,16.0,1.5,Light Snow
A-80,2,2016-02-10 08:11:22,Lake Allyn Rd,L,Batavia,Clermont,OH,15.8,4.0,Light Snow
A-81,2,2016-02-10 08:50:54,E Main St,R,Reynoldsburg,Franklin,OH,16.0,1.0,Light Snow
A-82,3,2016-02-10 09:03:53,North Fwy N,R,Galena,Delaware,OH,17.6,3.0,Haze
A-83,3,2016-02-10 09:42:04,Outerbelt S,R,Columbus,Franklin,OH,15.8,1.5,Light Snow
A-84,3,2016-02-10 10:38:58,E 5th Ave,R,Columbus,Franklin,OH,17.1,1.5,Light Snow
A-85,3,2016-02-10 17:10:00,US-224 W,R,Barberton,Summit,OH,19.9,1.0,Light Snow
A-86,3,2016-02-10 18:09:00,Copley Rd,L,Akron,Summit,OH,19.9,4.0,Light Snow
A-87,3,2016-02-10 18:41:44,I-71 N,R,Mansfield,Richland,OH,16.0,7.0,Overcast
A-88,3,2016-02-11 05:32:29,Grayton Rd,R,Cleveland,Cuyahoga,OH,14.0,9.0,Light Snow
A-89,3,2016-02-11 05:30:51,Vernon Odom Blvd,L,Akron,Summit,OH,14.0,4.0,Light Snow
A-90,2,2016-02-11 06:10:07,I-75 S,R,Dayton,Montgomery,OH,7.0,10.0,Scattered Clouds
A-91,2,2016-02-11 06:20:28,S Bantam Rd,L,Bethel,Clermont,OH,15.4,10.0,Overcast
A-92,3,2016-02-11 06:29:00,I-480 E,R,Cleveland,Cuyahoga,OH,17.1,10.0,Overcast
A-93,2,2016-02-11 07:17:58,Olentangy River Rd,R,Columbus,Franklin,OH,6.1,10.0,Partly Cloudy
A-94,2,2016-02-11 07:18:39,Gender Rd,R,Canal Winchester,Franklin,OH,5.0,10.0,Clear
A-95,3,2016-02-11 07:21:55,I-77 S,R,Akron,Summit,OH,12.0,2.0,Light Snow
A-96,2,2016-02-11 07:28:16,Mink St SW,L,Pataskala,Licking,OH,7.0,10.0,Overcast
A-97,3,2016-02-11 07:29:06,I-71 S,R,Cleveland,Cuyahoga,OH,15.1,10.0,Mostly Cloudy
A-98,2,2016-02-11 07:53:55,Vance Rd,R,Dayton,Montgomery,OH,9.0,9.0,Clear
A-99,2,2016-02-11 08:07:02,Home Ave,R,Dayton,Montgomery,OH,7.5,10.0,Scattered Clouds
A-100,2,2016-02-11 08:13:24,US-35 E,R,Dayton,Montgomery,OH,7.5,10.0,Scattered Clouds
