ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-12,2,2020-12-17 16:38:09,2020-12-17 19:36:53,40.912209999999995,-73.875099,40.916901,-73.87144,0.376,Crash on I-87 - NYS Thruway southbound at After Exit 1 (I-87) - Yonkers - Hall Place starting 8:38 AM 12/17/2020 [CARS CAD-203520172],nan,I-87 N,R,Yonkers,Westchester,NY,10704,US,US/Eastern,KLGA,2020-12-17 16:51:00,32.0,21.0,61.0,30.0,10.0,NNW,16.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-20,2,2020-04-18 14:41:08,2020-04-18 15:25:50,41.556862,-73.779556,41.556862,-73.779556,0.0,Right hand shoulder blocked due to accident on Taconic State Pkwy Southbound at NY-52.,nan,Taconic State Pkwy,R,Hopewell Junction,Dutchess,NY,12533,US,US/Eastern,KPOU,2020-04-18 14:53:00,45.0,38.0,63.0,29.59,10.0,N,15.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-25,2,2020-06-25 14:48:35,2020-06-25 15:03:35,40.9122,-73.88461,40.9122,-73.88461,0.0,At McLean Ave/Exit 3 - Accident. Left lane blocked.,nan,Saw Mill River Pkwy S,R,Yonkers,Westchester,NY,10705,US,US/Eastern,KLGA,2020-06-25 14:51:00,88.0,88.0,26.0,29.94,10.0,S,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-40,2,2020-12-22 00:44:00,2020-12-22 04:51:36,43.100196999999994,-77.547005,43.099092,-77.546755,0.077,Incident on CLOVER ST near FRENCH RD Expect delays.,388.0,French Rd,R,Pittsford,Monroe,NY,14534-1153,US,US/Eastern,KROC,2020-12-22 00:54:00,34.0,28.0,100.0,29.05,6.0,SW,7.0,0.0,Wintry Mix,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-63,2,2020-12-16 21:26:41,2020-12-17 00:10:47,42.972506,-73.831128,42.971571999999995,-73.83099,0.065,Crash on NY 67 eastbound at Town of Ballston; Town of Malta Line; CR 82; Eastline Road (Malta) right shoulder closed,504.0,Eastline Rd,L,Ballston Spa,Saratoga,NY,12020-3632,US,US/Eastern,KSCH,2020-12-16 21:48:00,18.0,8.0,73.0,29.83,1.0,NNE,7.0,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-93,2,2019-09-17 06:21:57,2019-09-17 08:09:21,40.703041,-73.566048,40.703041,-73.566048,0.0,Accident on Prospect Ave at Bellmore Ave.,613.0,Bellmore Ave,L,East Meadow,Nassau,NY,11554-4708,US,US/Eastern,KFRG,2019-09-17 05:53:00,57.0,57.0,77.0,29.95,10.0,NNE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-94,2,2017-09-29 08:47:54,2017-09-29 09:17:26,43.077332,-77.546585,43.077332,-77.546585,0.0,Serious accident on NY-65 Clover St at County Hwy-37 Stone Rd.,3001.0,Clover St,R,Pittsford,Monroe,NY,14534-2815,US,US/Eastern,KROC,2017-09-29 08:54:00,52.0,nan,80.0,30.1,10.0,Calm,nan,nan,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-97,2,2018-01-18 06:55:12,2018-01-18 07:24:41,40.969318,-73.77409399999999,40.969318,-73.77409399999999,0.0,Right hand shoulder blocked due to accident on Hutchinson River Pkwy Northbound at Exit 20 NY-125 Weaver St.,nan,Weaver St,R,Scarsdale,Westchester,NY,10583,US,US/Eastern,KHPN,2018-01-18 06:56:00,15.1,7.7,70.0,30.07,10.0,West,4.6,nan,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-100,2,2017-03-01 06:36:35,2017-03-01 07:06:25,40.673615000000005,-73.857185,nan,nan,0.01,Accident on Conduit Ave at 79th St.,7900.0,N Conduit Ave,R,Howard Beach,Queens,NY,11414,US,US/Eastern,KJFK,2017-03-01 06:43:00,48.9,nan,100.0,29.81,0.2,SSE,6.9,nan,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-275,2,2020-11-06 22:06:25,2020-11-07 03:42:05,40.817029,-73.836497,40.789087,-73.81932900000001,2.129,Stationary traffic on Hutchinson River Pkwy S - I-678 S from Lafayette Ave exit [18] to Cross Is Pkwy S exit [16] due to accident.,nan,Bronx Whitestone Brg S,R,Bronx,Bronx,NY,10465,US,US/Eastern,KLGA,2020-11-06 21:51:00,65.0,65.0,45.0,30.21,10.0,SW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-291,2,2016-08-14 09:33:13,2016-08-14 15:33:13,42.94145,-78.76647,42.93692,-78.76644,0.313,At RT-33/Exit 51 - Accident.,nan,New York Trwy W,R,Buffalo,Erie,NY,14225,US,US/Eastern,KBUF,2016-08-14 09:32:00,75.0,nan,73.0,29.96,10.0,NW,6.9,nan,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-322,2,2019-08-29 14:39:15,2019-08-29 15:24:03,40.73724,-73.172539,40.73724,-73.172539,0.0,Accident on Harwood Ave at CR-50 Union Blvd.,3558.0,Union Blvd,R,East Islip,Suffolk,NY,11730-1915,US,US/Eastern,KISP,2019-08-29 14:56:00,82.0,82.0,42.0,29.75,10.0,WNW,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-324,2,2018-12-19 20:08:04,2018-12-19 21:07:48,43.138062,-77.60041,43.138062,-77.60041,0.0,Accident on Benton St at Meigs St.,99.0,Benton St,R,Rochester,Monroe,NY,14620-2439,US,US/Eastern,KROC,2018-12-19 19:54:00,37.0,33.3,50.0,30.01,10.0,SW,4.6,nan,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
